,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
0,IGL,EQ,2017-05-15,994.5,995.1,1008.0,995.1,       1002.00,1000.25,1001.54,314597,315080426.8,6153,172367,54.79,5,2017,1000.25,0.0,Slight or No change
1,IGL,EQ,2017-05-16,1000.25,1007.6,1009.0,988.5,       1006.00,1005.8,998.3,178249,177945444.15,10293,71551,40.14,5,2017,1002.2572841212062,0.0055486128467883145,Slight or No change
2,IGL,EQ,2017-05-17,1005.8,1009.0,1027.0,1008.9,       1019.65,1019.1,1020.26,337329,344162611.1,12173,123163,36.51,5,2017,1009.101065859608,0.013223304831974536,Slight or No change
3,IGL,EQ,2017-05-18,1019.1,1019.1,1019.1,999.1,       1000.05,1002.55,1008.46,168584,170010077.2,5294,62676,37.18,5,2017,1007.9952887032807,-0.016239819448533033,Slight or No change
4,IGL,EQ,2017-05-19,1002.55,1005.0,1010.85,993.0,       1002.60,1000.15,1001.42,149678,149890520.95,5053,38134,25.48,5,2017,1006.9727971582246,-0.0023938955663058703,Slight or No change
5,IGL,EQ,2017-05-22,1000.15,1002.0,1007.55,979.3,        995.00,987.2,987.27,263534,260179705.7,10908,115685,43.9,5,2017,1003.2823500270189,-0.012948057791331236,Slight or No change
6,IGL,EQ,2017-05-23,987.2,988.5,995.5,966.8,        980.85,981.45,981.17,350503,343902033.55,8861,112562,32.11,5,2017,998.9405531088686,-0.005824554294975637,Slight or No change
7,IGL,EQ,2017-05-24,981.45,981.45,988.9,971.2,        980.00,982.65,980.94,295155,289529424.95,6138,162414,55.03,5,2017,996.6037673215143,0.0012226807274948737,Slight or No change
8,IGL,EQ,2017-05-25,982.65,990.7,992.6,967.8,        992.60,984.45,982.31,475055,466652013.5,8189,231162,48.66,5,2017,994.3240877661801,0.0018317814074186867,Slight or No change
9,IGL,EQ,2017-05-26,984.45,986.0,1032.95,985.15,       1032.95,1026.05,1017.35,555552,565191964.45,16387,237048,42.67,5,2017,1000.0313568975946,0.04225709787190812,Slight or No change
10,IGL,EQ,2017-05-29,1026.05,1034.0,1048.9,1010.4,       1027.85,1026.05,1033.34,866262,895141275.95,20636,395910,45.7,5,2017,1005.7309328769417,0.0,Slight or No change
11,IGL,EQ,2017-05-30,1026.05,1027.2,1064.9,1022.9,       1064.00,1059.8,1048.4,336537,352824381.45,9178,109585,32.56,5,2017,1009.9714579815825,0.03289313386287218,Slight or No change
12,IGL,EQ,2017-05-31,1059.8,1067.0,1085.0,1064.1,       1073.95,1074.35,1075.89,477726,513982585.25,15525,170154,35.62,5,2017,1016.4207858812803,0.013729005472730593,Slight or No change
13,IGL,EQ,2017-06-01,1074.35,1073.7,1073.7,1052.0,       1060.00,1063.9,1061.16,187826,199313141.0,7374,66469,35.39,6,2017,1018.2199736835043,-0.009726811560478277,Slight or No change
14,IGL,EQ,2017-06-02,1063.9,1063.0,1096.45,1063.0,       1086.45,1088.35,1088.18,521589,567580554.35,13671,165078,31.65,6,2017,1024.8972053563082,0.022981483222107135,Slight or No change
15,IGL,EQ,2017-06-05,1088.35,1089.0,1094.0,1075.45,       1087.65,1085.25,1085.28,168623,183003387.25,7515,66077,39.19,6,2017,1026.699442214961,-0.0028483484173289497,Slight or No change
16,IGL,EQ,2017-06-06,1085.25,1102.0,1121.15,1087.8,       1118.00,1116.75,1105.33,604141,667777090.85,18715,155176,25.69,6,2017,1035.402650697335,0.029025570145127855,Slight or No change
17,IGL,EQ,2017-06-07,1116.75,1121.9,1126.95,1099.8,       1101.80,1106.2,1110.69,228740,254059219.1,5988,100263,43.83,6,2017,1037.9018768442268,-0.009447056189836545,Slight or No change
